model,feature_matrix,accuracy,precision,recall,f1_score
Logistic Regression,word_3_6000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_7000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_7000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_7000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_8000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_8000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_8000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_9000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_9000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_9000,0.88,0.89655172,0.89655172,0.89655172
Logistic Regression,word_1_10000,0.92,0.93103448,0.93103448,0.93103448
Logistic Regression,word_2_10000,0.86,0.89285714,0.86206897,0.87719298
Logistic Regression,word_3_10000,0.88,0.89655172,0.89655172,0.89655172
Multinomial Naive Bayes,word_1_100,0.9,0.85294118,1.0,0.92063492
Multinomial Naive Bayes,word_2_100,0.88,0.87096774,0.93103448,0.9
Multinomial Naive Bayes,word_3_100,0.82,0.95454545,0.72413793,0.82352941
Multinomial Naive Bayes,word_1_500,0.96,0.96551724,0.96551724,0.96551724
Multinomial Naive Bayes,word_2_500,0.86,0.89285714,0.86206897,0.87719298
Multinomial Naive Bayes,word_3_500,0.78,0.90909091,0.68965517,0.78431372
Multinomial Naive Bayes,word_1_1000,0.96,0.96551724,0.96551724,0.96551724
Multinomial Naive Bayes,word_2_1000,0.9,0.96153846,0.86206897,0.90909091
Multinomial Naive Bayes,word_3_1000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_2000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_2000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_2000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_3000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_3000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_3000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_4000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_4000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_4000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_5000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_5000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_5000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_6000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_6000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_6000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_7000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_7000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_7000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_8000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_8000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_8000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_9000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_9000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_9000,0.82,1.0,0.68965517,0.81632653
Multinomial Naive Bayes,word_1_10000,0.98,1.0,0.96551724,0.98245614
Multinomial Naive Bayes,word_2_10000,0.88,0.96,0.82758621,0.88888889
Multinomial Naive Bayes,word_3_10000,0.82,1.0,0.68965517,0.81632653
Support Vector Machine,word_1_100,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_2_100,0.86,0.89285714,0.86206897,0.87719298
Support Vector Machine,word_3_100,0.76,0.75757576,0.86206897,0.80645162
Support Vector Machine,word_1_500,0.9,0.92857143,0.89655172,0.9122807
Support Vector Machine,word_2_500,0.82,0.85714286,0.82758621,0.84210527
Support Vector Machine,word_3_500,0.82,0.83333333,0.86206897,0.84745763
Support Vector Machine,word_1_1000,0.9,0.92857143,0.89655172,0.9122807
Support Vector Machine,word_2_1000,0.8,0.82758621,0.82758621,0.82758621
Support Vector Machine,word_3_1000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_2000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_2000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_2000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_3000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_3000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_3000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_4000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_4000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_4000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_5000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_5000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_5000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_6000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_6000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_6000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_7000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_7000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_7000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_8000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_8000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_8000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_9000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_9000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_9000,0.84,0.88888889,0.82758621,0.85714286
Support Vector Machine,word_1_10000,0.92,0.96296296,0.89655172,0.92857142
Support Vector Machine,word_2_10000,0.86,0.92307692,0.82758621,0.87272727
Support Vector Machine,word_3_10000,0.84,0.88888889,0.82758621,0.85714286
Decision Tree,word_1_100,0.72,0.82608696,0.65517241,0.73076923
Decision Tree,word_2_100,0.72,0.74193548,0.79310345,0.76666667
Decision Tree,word_3_100,0.78,0.75,0.93103448,0.83076923
Decision Tree,word_1_500,0.84,0.88888889,0.82758621,0.85714286
Decision Tree,word_2_500,0.72,0.72727273,0.82758621,0.77419355
Decision Tree,word_3_500,0.8,0.80645161,0.86206897,0.83333333
Decision Tree,word_1_1000,0.88,0.89655172,0.89655172,0.89655172
Decision Tree,word_2_1000,0.64,0.65714286,0.79310345,0.71875
Decision Tree,word_3_1000,0.74,0.73529412,0.86206897,0.7936508
Decision Tree,word_1_2000,0.92,0.90322581,0.96551724,0.93333333
Decision Tree,word_2_2000,0.66,0.65789474,0.86206897,0.74626866
Decision Tree,word_3_2000,0.74,0.73529412,0.86206897,0.7936508
Decision Tree,word_1_3000,0.94,0.93333333,0.96551724,0.94915254
Decision Tree,word_2_3000,0.68,0.66666667,0.89655172,0.76470588
Decision Tree,word_3_3000,0.76,0.75757576,0.86206897,0.80645162
Decision Tree,word_1_4000,0.86,0.89285714,0.86206897,0.87719298
Decision Tree,word_2_4000,0.66,0.65789474,0.86206897,0.74626866
Decision Tree,word_3_4000,0.76,0.74285714,0.89655172,0.8125
Decision Tree,word_1_5000,0.9,0.9,0.93103448,0.91525424
Decision Tree,word_2_5000,0.66,0.66666667,0.82758621,0.73846154
Decision Tree,word_3_5000,0.76,0.74285714,0.89655172,0.8125
Decision Tree,word_1_6000,0.9,0.9,0.93103448,0.91525424
Decision Tree,word_2_6000,0.66,0.65,0.89655172,0.75362319
Decision Tree,word_3_6000,0.72,0.7027027,0.89655172,0.78787878
Decision Tree,word_1_7000,0.94,0.93333333,0.96551724,0.94915254
Decision Tree,word_2_7000,0.64,0.64102564,0.86206897,0.73529412
Decision Tree,word_3_7000,0.74,0.73529412,0.86206897,0.7936508
Decision Tree,word_1_8000,0.96,0.96551724,0.96551724,0.96551724
Decision Tree,word_2_8000,0.64,0.64864865,0.82758621,0.72727273
Decision Tree,word_3_8000,0.74,0.73529412,0.86206897,0.7936508
Decision Tree,word_1_9000,0.96,0.96551724,0.96551724,0.96551724
Decision Tree,word_2_9000,0.7,0.68421053,0.89655172,0.7761194
Decision Tree,word_3_9000,0.76,0.75757576,0.86206897,0.80645162
Decision Tree,word_1_10000,0.9,0.9,0.93103448,0.91525424
Decision Tree,word_2_10000,0.7,0.68421053,0.89655172,0.7761194
Decision Tree,word_3_10000,0.74,0.72222222,0.89655172,0.8
Random Forest,word_1_100,0.82,0.83333333,0.86206897,0.84745763
Random Forest,word_2_100,0.82,0.83333333,0.86206897,0.84745763
Random Forest,word_3_100,0.8,0.77142857,0.93103448,0.84375
Random Forest,word_1_500,0.88,0.87096774,0.93103448,0.9
Random Forest,word_2_500,0.82,0.8125,0.89655172,0.85245901
Random Forest,word_3_500,0.78,0.78125,0.86206897,0.81967213
Random Forest,word_1_1000,0.86,0.84375,0.93103448,0.8852459
Random Forest,word_2_1000,0.8,0.77142857,0.93103448,0.84375
Random Forest,word_3_1000,0.86,0.86666667,0.89655172,0.88135593
Random Forest,word_1_2000,0.88,0.87096774,0.93103448,0.9
Random Forest,word_2_2000,0.78,0.76470588,0.89655172,0.82539682
Random Forest,word_3_2000,0.88,0.87096774,0.93103448,0.9
Random Forest,word_1_3000,0.86,0.84375,0.93103448,0.8852459
Random Forest,word_2_3000,0.74,0.72222222,0.89655172,0.8
Random Forest,word_3_3000,0.84,0.83870968,0.89655172,0.86666667
Random Forest,word_1_4000,0.86,0.86666667,0.89655172,0.88135593
Random Forest,word_2_4000,0.78,0.76470588,0.89655172,0.82539682
Random Forest,word_3_4000,0.86,0.86666667,0.89655172,0.88135593
Random Forest,word_1_5000,0.82,0.83333333,0.86206897,0.84745763
Random Forest,word_2_5000,0.76,0.75757576,0.86206897,0.80645162
Random Forest,word_3_5000,0.86,0.86666667,0.89655172,0.88135593
Random Forest,word_1_6000,0.86,0.86666667,0.89655172,0.88135593
Random Forest,word_2_6000,0.74,0.72222222,0.89655172,0.8
Random Forest,word_3_6000,0.88,0.87096774,0.93103448,0.9
Random Forest,word_1_7000,0.84,0.81818182,0.93103448,0.87096774
Random Forest,word_2_7000,0.78,0.76470588,0.89655172,0.82539682
Random Forest,word_3_7000,0.86,0.84375,0.93103448,0.8852459
Random Forest,word_1_8000,0.9,0.9,0.93103448,0.91525424
Random Forest,word_2_8000,0.76,0.74285714,0.89655172,0.8125
Random Forest,word_3_8000,0.84,0.81818182,0.93103448,0.87096774
Random Forest,word_1_9000,0.88,0.87096774,0.93103448,0.9
Random Forest,word_2_9000,0.8,0.77142857,0.93103448,0.84375
Random Forest,word_3_9000,0.88,0.87096774,0.93103448,0.9
Random Forest,word_1_10000,0.88,0.84848485,0.96551724,0.90322581
Random Forest,word_2_10000,0.78,0.76470588,0.89655172,0.82539682
Random Forest,word_3_10000,0.88,0.87096774,0.93103448,0.9
Multi-layer Perceptron,word_1_100,0.86,0.89285714,0.86206897,0.87719298
Multi-layer Perceptron,word_2_100,0.84,0.81818182,0.93103448,0.87096774
Multi-layer Perceptron,word_3_100,0.78,0.76470588,0.89655172,0.82539682
Multi-layer Perceptron,word_1_500,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_2_500,0.84,0.86206897,0.86206897,0.86206897
Multi-layer Perceptron,word_3_500,0.82,0.83333333,0.86206897,0.84745763
Multi-layer Perceptron,word_1_1000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_1000,0.84,0.83870968,0.89655172,0.86666667
Multi-layer Perceptron,word_3_1000,0.92,0.90322581,0.96551724,0.93333333
Multi-layer Perceptron,word_1_2000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_2000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_2000,0.9,0.9,0.93103448,0.91525424
Multi-layer Perceptron,word_1_3000,0.96,0.96551724,0.96551724,0.96551724
Multi-layer Perceptron,word_2_3000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_3000,0.92,0.90322581,0.96551724,0.93333333
Multi-layer Perceptron,word_1_4000,0.96,0.96551724,0.96551724,0.96551724
Multi-layer Perceptron,word_2_4000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_4000,0.92,0.90322581,0.96551724,0.93333333
Multi-layer Perceptron,word_1_5000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_5000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_5000,0.9,0.9,0.93103448,0.91525424
Multi-layer Perceptron,word_1_6000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_6000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_6000,0.9,0.9,0.93103448,0.91525424
Multi-layer Perceptron,word_1_7000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_7000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_7000,0.9,0.9,0.93103448,0.91525424
Multi-layer Perceptron,word_1_8000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_8000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_8000,0.9,0.9,0.93103448,0.91525424
Multi-layer Perceptron,word_1_9000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_9000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_9000,0.9,0.9,0.93103448,0.91525424
Multi-layer Perceptron,word_1_10000,0.94,0.96428571,0.93103448,0.94736842
Multi-layer Perceptron,word_2_10000,0.92,0.93103448,0.93103448,0.93103448
Multi-layer Perceptron,word_3_10000,0.92,0.90322581,0.96551724,0.93333333
